fid,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,TXT_OBS_02,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"1","262036380229000001","262","036","3802","00","0001",PA,CDU,"1",S,S,ZEPAM,"0",,,"0","0",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","400","140506",RUA BALNEARIO SAO JOSE,,"0","0","0",,U,,,LOTE PERTENCENTE A DUAS SUBPREFEITURAS (SO e PA).,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"2","258108235024000001","258","108","2350","00","0001",SO,CDU,"2",S,S,ZPDS,"0",,,"0","0",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","35862","453295",AVENIDA IRMA DULCE,,"0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"3","188060763829000102","188","060","7638","00","0102",PJ,JAR,"1",S,S,ZCa,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","859","1200",RUA ANTONIO CARDOSO NOGUEIRA,"922","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"4","134405749524000048","134","405","7495","00","0048",IT,IPA,"2",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1755",RUA MANUEL DA SILVA RIO,"260","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"6","163200720674000076","163","200","7206","00","0076",SO,CDU,"2",S,S,ZMa,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","650","637",RUA MARIA ADELINA FRANCA WHITAKER,"450","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"7","15226471824000098","152","264","7158","00","0098",SM,SRA,"3",S,S,ZMa,"0",,,"0","0",S,ZCA,"0",,,"0","0",QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","589","639",AVENIDA SAPOPEMBA,"17400","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"9","163075683132000068","163","075","6831","00","0068",SO,CDU,"1",S,S,ZMa,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","500","500",RUA LUIZ VIANA,"300","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"10","171179662682020000","171","179","6626","02","0000",CL,VAN,"2",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","17267","4769",RUA DOUTOR JAMES FERRAZ ALVIM,"271","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","1",,
"12","133026646776000058","133","026","6467","00","0058",MP,JD,"1",S,S,ZEIS-3,"0","0",,"0","0",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","450","300",RUA VISTOSA DA MADRE DE DEUS,"498","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"13","152090638633000032","152","090","6386","00","0032",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1125","375",RUA NELSON DE OLIVEIRA,"53","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"15","166033611026000043","166","033","6110","00","0043",CL,CRE,"3",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","5109",RUA DOUTOR JOSE SERRA RIBEIRO,"360","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"16","160195610739000548","160","195","6107","00","0548",BT,RPE,"1",S,S,ZER-1,"0",,,"0","0",S,QA,"7",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","480","805",RUA PIERINA PERUZZO,"406","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"18","155071591742000045","155","071","5917","00","0045",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1050","468",RUA NOVA BRASILIA,"958","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"21","247004372366000184","247","004","3723","00","0184",SM,IGU,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","89","125",RUA EMILIO RETROSI,"185","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"22","247004372366000183","247","004","3723","00","0183",SM,IGU,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","134","125",RUA EMILIO RETROSI,"183","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"23","230085359556000781","230","085","3595","00","0781",IQ,JBO,"2",S,S,ZMIS,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","860","3243",RUA ALFREDO RICCI,"160","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"25","147338354988001030","147","338","3549","00","1030",IQ,CLD,"3",S,S,ZEIS-1,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","8225","6000",RUA MOACIR FAGUNDES,"16","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"26","188050306533000174","188","050","3065","00","0174",PJ,JAR,"1",S,S,ZMa,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","271","166",AVENIDA JERIMANDUBA,"1173","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"27","188050306533000175","188","050","3065","00","0175",PJ,JAR,"3",S,S,ZEIS-2,"0",,,"0","0",S,ZMA,"0",,,"0","0",QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","13434","15704",AVENIDA JERIMANDUBA,"1285","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"37","154117220027000028","154","117","2200","00","0028",SB,SAP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1613","930",AVENIDA DOUTOR FREDERICO MARTINS DA COSTA CARVALHO,"178","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
"39","162043215341000092","162","043","2153","00","0092",SO,CDU,"1",S,S,ZDE-2,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"13",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","7915","3526",AVENIDA JOAO PAULO DA SILVA,"130","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"40","175182205141000070","175","182","2051","00","0070",SO,CDU,"1",S,S,ZEUa,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","900","508",AVENIDA MANUEL ALVES SOARES,"185","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"51","170042196487030000","170","042","1964","03","0000",CL,VAN,"2",S,S,ZM,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","9456","2208",RUA DOUTOR CHIBATA MIYAKOSHI,"183","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","1",,
